"station_id","song","genre"
"radiozurnal","JUSTIN BIEBER - LOVE YOURSELF","pop"
"radiozurnal","GOO GOO DOLLS - IRIS","pop"
"radiozurnal","SMOKIE - NEEDLES AND PINS","pop"
"radiozurnal","CHRIS REA - THE ROAD TO HELL","rock"
"radiozurnal","MARQUESS - VAYAMOS COMPANEROS","pop"
"radiozurnal","BRYAN ADAMS - (EVERYTHING I DO) I DO IT FOR YOU","pop"
"radiozurnal","LP - LOST ON YOU","pop"
"radiozurnal","ROBBIE WILLIAMS - ANGELS","pop"
"radiozurnal","TOMÁŠ KLUS - A PAK","other"
"radiozurnal","OLLY MURS,  DEMI LOVATO - UP","other"
"radiozurnal","TICHÁ DOHODA - VEČÍREK OSAMĚLÝCH SRDCÍ","pop"
"radiozurnal","SHAWN MENDES - IN MY BLOOD","pop"
"radiozurnal","CRANBERRIES - LINGER","rock"
"radiozurnal","GEORGE MICHAEL - SOMEBODY TO LOVE","pop"
"radiozurnal","RUDIMENTAL,  JESS GLYNNE,  MACKLEMORE,  DAN CAPLEN - THESE DAYS","other"
"radiozurnal","GEORGE HARRISON - GOT MY MIND SET ON YOU","pop"
"radiozurnal","ATOMIC KITTEN - SOMEONE LIKE ME","pop"
"radiozurnal","BRUCE SPRINGSTEEN - DANCING IN THE DARK","rock"
"radiozurnal","ZUCCHERO - BLUE","pop"
"radiozurnal","LIAM PAYNE,  RITA ORA - FOR YOU","other"
"radiozurnal","ALPHAVILLE - SOUNDS LIKE A MELODY","pop"
"radiozurnal","READY KIRKEN - KRASOHLED","pop"
"radiozurnal","ROXETTE - HOW DO YOU DO!","pop"
"radiozurnal","DEPECHE MODE - PERSONAL JESUS","pop"
"radiozurnal","TRAIN - DRIVE BY","pop"
"radiozurnal","DEAN LEWIS - BE ALRIGHT","rock"
"radiozurnal","R.E.M. - EVERYBODY HURTS","rock"
"radiozurnal","AVICII - WAKE ME UP","electronic"
"radiozurnal","RADIM HLADÍK & BLUE EFFECT - ČAJOVNA","other"
"radiozurnal","LEWIS CAPALDI - SOMEONE YOU LOVED","pop"
"radiozurnal","MANIC STREET PREACHERS - IF YOU TOLERATE THIS YOUR CHILDREN WILL BE NEXT","pop"
"radiozurnal","SIA - NEVER GIVE UP","other"
"radiozurnal","STATUS QUO - IN THE ARMY NOW","rock"
"radiozurnal","DURAN DURAN - ORDINARY WORLD","pop"
"radiozurnal","NEIL YOUNG - HEART OF GOLD","rock"
"radiozurnal","MANS ZELMERLÖW - HAPPYLAND","pop"
"radiozurnal","POINTER SISTERS - I'M SO EXCITED","other"
"radiozurnal","LENNY KRAVITZ - AGAIN","pop"
"radiozurnal","SURVIVOR - EYE OF THE TIGER","rock"
"radiozurnal","SARAH BRIGHTMAN, ANDREA BOCELLI - TIME TO SAY GOODBYE","other"
"radiozurnal","MIROSLAV ŽBIRKA,  MAGDA ŠALAMOUNOVÁ - TENTO SONG","other"
"radiozurnal","FRANKIE GOES TO HOLLYWOOD - THE POWER OF LOVE","pop"
"radiozurnal","ALLE FARBEN,  YOUNOTUS,  KELVIN JONES - ONLY THING WE KNOW","other"
"radiozurnal","MICHAEL BOLTON - WHEN A MAN LOVES A WOMAN","pop"
"radiozurnal","BON JOVI - KEEP THE FAITH","rock"
"radiozurnal","ED SHEERAN - LEGO HOUSE","other"
"radiozurnal","U 2 - WITH OR WITHOUT YOU","rock"
"radiozurnal","ROBERT MILES, MARIA NAYLER - ONE AND ONE","other"
"radiozurnal","DAVID STYPKA,  EWA FARNÁ - DOBRÉ RÁNO, MILÁ","other"
"radiozurnal","QUEEN - I WAS BORN TO LOVE YOU","rock"
"radiozurnal","MELANIE C - FIRST DAY OF MY LIFE","pop"
"radiozurnal","LIONEL RICHIE - MY DESTINY","pop"
"radiozurnal","INXS - NEVER TEAR US APART","pop"
"radiozurnal","MADONNA - THE POWER OF GOOD-BYE","pop"
"radiozurnal","LUCIE - TAKHLE TĚ MÁM RÁD","pop"
"radiozurnal","ELTON JOHN - CAN YOU FEEL THE LOVE TONIGHT","pop"
"radiozurnal","ROBERT PALMER - JOHNNY AND MARY","pop"
"radiozurnal","ALICIA KEYS - EMPIRE STATE OF MIND (PART II BROKEN DOWN)","pop"
"radiozurnal","BEATLES - I SHOULD HAVE KNOWN BETTER","rock"
"radiozurnal","REA GARVEY - IS IT LOVE?","rock"
"radiozurnal","NO GUITARS - ČERNÁ RŮŽE","rock"
"radiozurnal","COLDPLAY - EVERY TEARDROP IS A WATERFALL","pop"
"radiozurnal","TANITA TIKARAM - TWIST IN MY SOBRIETY","pop"
"radiozurnal","EAGLE-EYE CHERRY - SAVE TONIGHT","pop"
"radiozurnal","ZAZ - QUE VENDRÁ","jazz"
"radiozurnal","NAZARETH - LOVE HURTS","rock"
"radiozurnal","JUNGE JUNGE,  KYLE PEARCE - RUN RUN RUN","other"
"radiozurnal","BRYAN ADAMS - PLEASE FORGIVE ME","pop"
"radiozurnal","LUKAS GRAHAM - LOVE SOMEONE","pop"
"radiozurnal","PAUL YOUNG - LOVE OF THE COMMON PEOPLE","pop"
"radiozurnal","ANETA LANGEROVÁ - PODZIM","pop"
"radiozurnal","ROXETTE - IT MUST HAVE BEEN LOVE","pop"
"radiozurnal","SUPPORT LESBIENS - ŽIVOTNÍ","pop"
"radiozurnal","WHITNEY HOUSTON - RUN TO YOU","pop"
"radiozurnal","ROD STEWART - LOOK IN HER EYES","pop"
"radiozurnal","NO NAME - ŽILY","pop"
"radiozurnal","MARIAH CAREY - WITHOUT YOU","pop"
"radiozurnal","HOLLIES - BUS STOP","rock"
"radiozurnal","LIGHT & LOVE - BLUEBERRY SKY","other"
"radiozurnal","LAID BACK - BAKERMAN","pop"
"radiozurnal","JIMMY CLIFF - I CAN SEE CLEARLY NOW","other"
"radiozurnal","VERVE - BITTER SWEET SYMPHONY","pop"
"radiozurnal","MIRAI - ANDĚL","pop"
"radiozurnal","CHER - IF I COULD TURN BACK TIME","pop"
"radiozurnal","KEANE - THIS IS THE LAST TIME","pop"
