"station_id","song","genre_category","spotify_track_id"
"RZ","ABBA - S.O.S.","other","2XCn1V1S87HfqYMPELwFCg"
"RZ","AVA MAX - KINGS AND QUEENS","pop","7a53HqqArd4b9NF4XAmlbI"
"RZ","WANASTOWI VJECY - ANDĚLÉ","pop","0r0NZ5uPVDWwxIhfsuNrLZ"
"RZ","DEBBI - LA LA","other","7bNlshwOgoudh9io0aM8nk"
"RZ","JELEN - MAGDALÉNA","pop","7ueLU9ytIcsKmStaEIqSj1"
"RZ","JOHN NEWMAN - FEELINGS","pop","1eSGjhgBHh8zhJ44eHtvhP"
"RZ","U 2 - I STILL HAVEN'T FOUND WHAT I'M LOOKING FOR","rock","6wpGqhRvJGNNXwWlPmkMyO"
"RZ","MŇÁGA A ŽĎORP - GOIN' BLIND","other",NA
"RZ","BRYAN ADAMS - DO I HAVE TO SAY THE WORDS","pop","2jstyP5wqWuPfH8GCRUrwr"
"RZ","CHINASKI - 1970","pop","5cWyFZHQ8fSFmyqmSXu8cF"
"RZ","BELINDA CARLISLE - LEAVE A LIGHT ON","pop","6XEoRP3ligos6GnuCkxBkj"
"RZ","WEEKND - IN YOUR EYES","pop","7szuecWAPwGoV1e5vGu8tl"
"RZ","R.E.M. - LOSING MY RELIGION","pop","31AOj9sFz2gM0O3hMARRBx"
"RZ","ONE REPUBLIC - COUNTING STARS","pop","6sy3LkhNFjJWlaeSMNwQ62"
"RZ","P!NK - TRY","pop","1jF7IL57ayN4Ity3jQqGu0"
"RZ","BASTILLE,  ALESSIA CARA - ANOTHER PLACE","other","2Fn4gZI3MAeWTiv7cSVxZQ"
"RZ","PETER GABRIEL - THE SOLSBURY HILL","pop","65sKeIj5LVRNBD7TzP4b4q"
"RZ","ROXETTE - CENTRE OF THE HEART","pop","1DrVCPNJ2CaPh2XlD4boak"
"RZ","DEF LEPPARD - TWO STEPS BEHIND","rock","0hJnqEmo8DeMmRhh6mwAof"
"RZ","TOMÁŠ KLUS - NINA","pop","417YPHI3wZXyQZHneua8H5"
"RZ","TANITA TIKARAM - TWIST IN MY SOBRIETY","pop","651In9fY9BregQWY0cF7l2"
"RZ","CHAD KROEGER,  JOSEY SCOTT - HERO","other","779ooI3rBd0CLqCiiJmtVo"
"RZ","ARMIN VAN BUUREN - THIS IS WHAT IT FEELS LIKE","other","5GjnIpUlLGEIYk052ISOw9"
"RZ","DIVOKEJ BILL - KARAVANA MRAKŮ","pop","2V690OF6QB2CfTm1ABdG1q"
"RZ","LENNY - HOME","hip-hop","7rRhUhxiUN7jXYvaiNBpHn"
"RZ","GAVIN JAMES - GLOW","pop","6QoeYWHziiIaEYQm7yp9Fm"
"RZ","REMBRANDTS - JUST THE WAY IT IS, BABY","pop","4AgtVP8QGgkqYbVeLJCWDz"
"RZ","EROS RAMAZZOTTI - UN' EMOZIONE PER SEMPRE","pop","1Hd8GLavCUUUx3GJdunJ4E"
"RZ","MICHAL HRŮZA - PRO EMU","other","2TXZLLx9J56tboOd8cRbt9"
"RZ","MIKE & THE MECHANICS - OVER MY SHOULDER","pop","3UlWhHUTCSw2LvnQkmDEs8"
"RZ","GEORGE EZRA - HOLD MY GIRL","pop","42bbDWZ8WmXTH7PkYAlGLu"
"RZ","ANETA LANGEROVÁ - PODZIM","pop","2SEaQyO38exCLldiu4XvvW"
"RZ","BEN HAENOW,  KELLY CLARKSON - SECOND HAND HEART","other","5jt5c2xD0B64SuE8ndfQlb"
"RZ","MARK RONSON,  MILEY CYRUS - NOTHING BREAKS LIKE A HEART","other","27rdGxbavYJeBphck5MZAF"
"RZ","BON JOVI - IT'S MY LIFE","rock","0v1XpBHnsbkCn7iJ9Ucr1l"
"RZ","ATOMIC KITTEN - SOMEONE LIKE ME","pop","7wvEYzhI8rxbnbBUcH3NK9"
"RZ","RICHARD MÜLLER - ŠTĚSTÍ JE KRÁSNÁ VĚC","pop","7IwZRRqcME484JbDqOBFge"
"RZ","ALI GATIE - IT'S YOU","pop","5DqdesEfbRyOlSS3Tf6c29"
"RZ","SCORPIONS - WIND OF CHANGE","rock","3ovjw5HZZv43SxTwApooCM"
"RZ","SCRIPT,  WILL.I.AM - HALL OF FAME","other","1X1DWw2pcNZ8zSub3uhlNz"
"RZ","HODINY - STMÍVÁNÍ","pop","4Ewbi4AWnkeeAbjyMM1MY8"
"RZ","TOM WALKER - NOT GIVING IN","pop","3dv1R3JLvC1ZNhWHKBYDTk"
"RZ","OASIS - STOP CRYING YOUR HEART OUT","pop","0SlpFHdk4UHBDzCEoXzy14"
"RZ","CHUMBAWAMBA - TUBTHUMPING","rock","5YScXJKtefsgdskIy60N7A"
"RZ","MARIANNE MIRAGE - THE PLACE","other","0BwHEiX6ASAXDkwsN21uY4"
"RZ","DAVID KOLLER - GYPSY LOVE","pop","3nRI0GEsC2le9WYZG5Fgot"
"RZ","HARRY STYLES - GOLDEN","pop","45S5WTQEGOB1VHr1Q4FuPl"
"RZ","ALANNAH MYLES - BLACK VELVET","pop","1KU5EHSz04JhGg3rReGJ0N"
"RZ","JAMES BLUNT - STAY THE NIGHT","pop","7FFl1IHSsPWsfUCladsCl9"
"RZ","SUPPORT LESBIENS - ŽIVOTNÍ","rock","6JN9PaClGtAy13v2Gd9kkk"
"RZ","TRAVELING WILBURYS - HANDLE WITH CARE","rock","1vQxicuNSODoBECPMFjHMG"
"RZ","ALLY BROOK - NO GOOD","pop","7j2jFc1LlQLNPRwbjrgXuv"
"RZ","DURAN DURAN - COME UNDONE","pop","0yfNXxlyXdmP0ue1iJijx1"
"RZ","MAÎTRE GIMS - EST CE-QUE TU M'AIMES?","hip-hop","3a9TMd2Yrza6HXqqlfMtfy"
"RZ","GERI HALLIWELL - IT'S RAINING MEN","pop","7q3qX7Ees3FZtRFJXWgPZs"
"RZ","DAVE STEWART, CANDY DULFER - LILY WAS HERE","other","5HVqftYQ37bJx3y0SI4obk"
"RZ","LEWIS CAPALDI - SOMEONE YOU LOVED","pop","7qEHsqek33rTcFNT9PFqLf"
"RZ","ANNA K. - MOUDŘEJŠÍ NEŽ NOC","pop","6hSsxd2aZ4csCAM44PXXPe"
"RZ","ANNA K - MOUDŘEJŠÍ NEŽ NOC","pop","6hSsxd2aZ4csCAM44PXXPe"
"RZ","MARLON ROUDETTE - WHEN THE BEAT DROPS OUT","pop","4c24laIQGNc7QTICHZZKOq"
"RZ","ELTON JOHN - CANDLE IN THE WIND '97","other","0P5vVASbVxf54XSUY1WCMq"
"RZ","ZAZ - SI JAMAIS J'OUBLIE","jazz","1KkPVmfNmNND1vm5PhUv5R"
"RZ","NIGHTWORK - ČEKÁM NA SIGNÁL","pop","1rPjAhubYM3A0LmUtunE0j"
"RZ","DECLAN J DONOVAN - PIECES","pop","1pHOwTWKYzKpwHW6C0Roh9"
"RZ","BRYAN ADAMS - SUMMER OF '69","pop","0GONea6G2XdnHWjNZd6zt3"
"RZ","CHINASKI - STÍŽNOST","pop","2JLHjALbFqqEXc9SIA14sL"
"RZ","MOBY - PORCELAIN","electronic","3cYgOAFB1HAUhC7b7U8viI"
"RZ","MANIC STREET PREACHERS - IF YOU TOLERATE THIS YOUR CHILDREN WILL BE NEXT","pop","2r7y4HANK7b9KVZfz0g4Uq"
"RZ","RADIM HLADÍK & BLUE EFFECT - ČAJOVNA","other",NA
"RZ","AVA MAX - TORN","pop","6SpVp6ttad3XJOsjKBZwaq"
"RZ","RIHANNA,   MIKKY EKKO - STAY","other","1dEy9Pl81QopSxNsPxXQxv"
