"station_id","song","genre","dead"
"radiozurnal","CHUMBAWAMBA - TUBTHUMPING","pop",2
"radiozurnal","ANNA K. - PROKŘEHLÁ","pop",1
"radiozurnal","ANNIE LENNOX - WHY","pop",1
"radiozurnal","JUSTIN BIEBER - LOVE YOURSELF","pop",1
"radiozurnal","GOO GOO DOLLS - IRIS","pop",2
"radiozurnal","SMOKIE - NEEDLES AND PINS","pop",2
"radiozurnal","CHRIS REA - THE ROAD TO HELL","rock",1
"radiozurnal","MARQUESS - VAYAMOS COMPANEROS","pop",2
"radiozurnal","BRYAN ADAMS - (EVERYTHING I DO) I DO IT FOR YOU","pop",1
"radiozurnal","LP - LOST ON YOU","pop",2
"radiozurnal","ROBBIE WILLIAMS - ANGELS","pop",1
"radiozurnal","TOMÁŠ KLUS - A PAK","other",1
"radiozurnal","OLLY MURS,  DEMI LOVATO - UP","other",2
"radiozurnal","TICHÁ DOHODA - VEČÍREK OSAMĚLÝCH SRDCÍ","pop",2
"radiozurnal","SHAWN MENDES - IN MY BLOOD","pop",1
"radiozurnal","CRANBERRIES - LINGER","rock",2
"radiozurnal","GEORGE MICHAEL - SOMEBODY TO LOVE","pop",0
"radiozurnal","RUDIMENTAL,  JESS GLYNNE,  MACKLEMORE,  DAN CAPLEN - THESE DAYS","other",2
"radiozurnal","GEORGE HARRISON - GOT MY MIND SET ON YOU","pop",0
"radiozurnal","ATOMIC KITTEN - SOMEONE LIKE ME","pop",2
"radiozurnal","BRUCE SPRINGSTEEN - DANCING IN THE DARK","rock",1
"radiozurnal","ZUCCHERO - BLUE","pop",1
"radiozurnal","LIAM PAYNE,  RITA ORA - FOR YOU","other",2
"radiozurnal","ALPHAVILLE - SOUNDS LIKE A MELODY","pop",2
"radiozurnal","READY KIRKEN - KRASOHLED","pop",2
"radiozurnal","ROXETTE - HOW DO YOU DO!","pop",2
"radiozurnal","DEPECHE MODE - PERSONAL JESUS","pop",2
"radiozurnal","TRAIN - DRIVE BY","pop",2
"radiozurnal","DEAN LEWIS - BE ALRIGHT","rock",1
"radiozurnal","R.E.M. - EVERYBODY HURTS","rock",2
"radiozurnal","AVICII - WAKE ME UP","electronic",0
"radiozurnal","RADIM HLADÍK & BLUE EFFECT - ČAJOVNA","other",2
"radiozurnal","LEWIS CAPALDI - SOMEONE YOU LOVED","pop",1
"radiozurnal","MANIC STREET PREACHERS - IF YOU TOLERATE THIS YOUR CHILDREN WILL BE NEXT","pop",2
"radiozurnal","SIA - NEVER GIVE UP","other",2
"radiozurnal","STATUS QUO - IN THE ARMY NOW","rock",2
"radiozurnal","DURAN DURAN - ORDINARY WORLD","pop",2
"radiozurnal","NEIL YOUNG - HEART OF GOLD","rock",1
"radiozurnal","MANS ZELMERLÖW - HAPPYLAND","pop",1
"radiozurnal","POINTER SISTERS - I'M SO EXCITED","other",2
"radiozurnal","LENNY KRAVITZ - AGAIN","pop",1
"radiozurnal","SURVIVOR - EYE OF THE TIGER","rock",2
"radiozurnal","SARAH BRIGHTMAN, ANDREA BOCELLI - TIME TO SAY GOODBYE","other",2
"radiozurnal","MIROSLAV ŽBIRKA,  MAGDA ŠALAMOUNOVÁ - TENTO SONG","other",2
"radiozurnal","FRANKIE GOES TO HOLLYWOOD - THE POWER OF LOVE","pop",2
"radiozurnal","ALLE FARBEN,  YOUNOTUS,  KELVIN JONES - ONLY THING WE KNOW","other",2
"radiozurnal","MICHAEL BOLTON - WHEN A MAN LOVES A WOMAN","pop",1
"radiozurnal","BON JOVI - KEEP THE FAITH","rock",2
"radiozurnal","ED SHEERAN - LEGO HOUSE","other",1
"radiozurnal","U 2 - WITH OR WITHOUT YOU","rock",2
"radiozurnal","ROBERT MILES, MARIA NAYLER - ONE AND ONE","other",2
"radiozurnal","DAVID STYPKA,  EWA FARNÁ - DOBRÉ RÁNO, MILÁ","other",2
"radiozurnal","QUEEN - I WAS BORN TO LOVE YOU","rock",2
"radiozurnal","MELANIE C - FIRST DAY OF MY LIFE","pop",1
"radiozurnal","LIONEL RICHIE - MY DESTINY","pop",1
"radiozurnal","INXS - NEVER TEAR US APART","pop",2
"radiozurnal","MADONNA - THE POWER OF GOOD-BYE","pop",1
"radiozurnal","LUCIE - TAKHLE TĚ MÁM RÁD","pop",2
"radiozurnal","ELTON JOHN - CAN YOU FEEL THE LOVE TONIGHT","pop",1
"radiozurnal","ROBERT PALMER - JOHNNY AND MARY","pop",0
"radiozurnal","ALICIA KEYS - EMPIRE STATE OF MIND (PART II BROKEN DOWN)","pop",1
"radiozurnal","BEATLES - I SHOULD HAVE KNOWN BETTER","rock",2
"radiozurnal","REA GARVEY - IS IT LOVE?","rock",1
"radiozurnal","NO GUITARS - ČERNÁ RŮŽE","rock",2
"radiozurnal","COLDPLAY - EVERY TEARDROP IS A WATERFALL","pop",2
"radiozurnal","TANITA TIKARAM - TWIST IN MY SOBRIETY","pop",1
"radiozurnal","EAGLE-EYE CHERRY - SAVE TONIGHT","pop",1
"radiozurnal","ZAZ - QUE VENDRÁ","jazz",1
"radiozurnal","NAZARETH - LOVE HURTS","rock",2
"radiozurnal","JUNGE JUNGE,  KYLE PEARCE - RUN RUN RUN","other",2
"radiozurnal","BRYAN ADAMS - PLEASE FORGIVE ME","pop",1
"radiozurnal","LUKAS GRAHAM - LOVE SOMEONE","pop",2
"radiozurnal","PAUL YOUNG - LOVE OF THE COMMON PEOPLE","pop",2
"radiozurnal","ANETA LANGEROVÁ - PODZIM","pop",1
"radiozurnal","ROXETTE - IT MUST HAVE BEEN LOVE","pop",2
"radiozurnal","SUPPORT LESBIENS - ŽIVOTNÍ","pop",2
"radiozurnal","WHITNEY HOUSTON - RUN TO YOU","pop",0
"radiozurnal","ROD STEWART - LOOK IN HER EYES","pop",1
"radiozurnal","NO NAME - ŽILY","pop",2
"radiozurnal","MARIAH CAREY - WITHOUT YOU","pop",1
