"song","spotify_url","spotify_track_id","n","spotify_uri"
"ORGANISSIMO: Patterson’s People","https://open.spotify.com/track/170CIPuc0KFlYza3Wb8kLF","170CIPuc0KFlYza3Wb8kLF",2,"spotify:track:170CIPuc0KFlYza3Wb8kLF"
"JOHN PATITUCCI: Agitato","https://open.spotify.com/track/6x3oU5MUgXjW6M1aHrbput","6x3oU5MUgXjW6M1aHrbput",1,"spotify:track:6x3oU5MUgXjW6M1aHrbput"
"CASSANDRA WILSON: Run the Voodoo Down","https://open.spotify.com/track/0gyfb4vth6c564TnyZx58R","0gyfb4vth6c564TnyZx58R",1,"spotify:track:0gyfb4vth6c564TnyZx58R"
"WOLFGANG HAFFNER: Shapes","https://open.spotify.com/track/73HMc15shR8GPqr2a0p3bN","73HMc15shR8GPqr2a0p3bN",2,"spotify:track:73HMc15shR8GPqr2a0p3bN"
"HERBIE HANCOCK: Solitude","https://open.spotify.com/track/3MUQEQpd2btoGL4nf4jAyJ","3MUQEQpd2btoGL4nf4jAyJ",1,"spotify:track:3MUQEQpd2btoGL4nf4jAyJ"
"JACKY TERRASSON: Smile","https://open.spotify.com/track/45co7gWEhnZevNaWbPlW3W","45co7gWEhnZevNaWbPlW3W",1,"spotify:track:45co7gWEhnZevNaWbPlW3W"
"OLIVER NELSON: Midnight Blue","https://open.spotify.com/track/025YhFIfBdUp5CNSXRCLUL","025YhFIfBdUp5CNSXRCLUL",2,"spotify:track:025YhFIfBdUp5CNSXRCLUL"
"FREDDIE HUBBARD: Suite Sioux","https://open.spotify.com/track/64rHDxDhz71GtHxs5QBsQ5","64rHDxDhz71GtHxs5QBsQ5",1,"spotify:track:64rHDxDhz71GtHxs5QBsQ5"
"MARCUS MILLER: Strange Fruit","https://open.spotify.com/track/1DpNdbYcNxz2XiGmnHZu1C","1DpNdbYcNxz2XiGmnHZu1C",1,"spotify:track:1DpNdbYcNxz2XiGmnHZu1C"
"MUFF: Barely","https://open.spotify.com/track/2gKx16kdBU28VsVMptiSdz","2gKx16kdBU28VsVMptiSdz",1,"spotify:track:2gKx16kdBU28VsVMptiSdz"
"HERBIE HANCOCK: A Change Is Gonna Come","https://open.spotify.com/track/49aZeNDAbqzFWFErq9Jcjc","49aZeNDAbqzFWFErq9Jcjc",1,"spotify:track:49aZeNDAbqzFWFErq9Jcjc"
"JAGA JAZZIST: Prungen","https://open.spotify.com/track/5f0miszPIYbcuh28m2Zamu","5f0miszPIYbcuh28m2Zamu",1,"spotify:track:5f0miszPIYbcuh28m2Zamu"
"MARCUS MILLER: Strum","https://open.spotify.com/track/2sNCXl8cRQ7GXUw6dYZQLl","2sNCXl8cRQ7GXUw6dYZQLl",1,"spotify:track:2sNCXl8cRQ7GXUw6dYZQLl"
"JUKKA ESKOLA: Introducing the Soul Trio","https://open.spotify.com/track/3C4PqY6zBBOqIklcgVDSBl","3C4PqY6zBBOqIklcgVDSBl",2,"spotify:track:3C4PqY6zBBOqIklcgVDSBl"
"SZATURMA: Kalila si","https://open.spotify.com/track/6gMobXUE38axZNEAgDRkfl","6gMobXUE38axZNEAgDRkfl",2,"spotify:track:6gMobXUE38axZNEAgDRkfl"
"FRANTIŠEK UHLÍŘ: Part 5. Children","https://open.spotify.com/track/192XYMH1jWVuYBuaEQQZOd","192XYMH1jWVuYBuaEQQZOd",1,"spotify:track:192XYMH1jWVuYBuaEQQZOd"
"DIANA KRALL: I Love Being Here With You","https://open.spotify.com/track/47RrVVKM5lF1PsQPRT8h7G","47RrVVKM5lF1PsQPRT8h7G",1,"spotify:track:47RrVVKM5lF1PsQPRT8h7G"
"FREDDIE HUBBARD: Arietis","https://open.spotify.com/track/2rvlhyiUa082VRTa3OFgmh","2rvlhyiUa082VRTa3OFgmh",1,"spotify:track:2rvlhyiUa082VRTa3OFgmh"
"BUGGE WESSELTOFT: Saisir","https://open.spotify.com/track/0TSfHY9WRjEcA7n1py9JMi","0TSfHY9WRjEcA7n1py9JMi",1,"spotify:track:0TSfHY9WRjEcA7n1py9JMi"
"KNEEBODY: What’s My Name","https://open.spotify.com/track/4srNR2bmIAO659cfoggC53","4srNR2bmIAO659cfoggC53",1,"spotify:track:4srNR2bmIAO659cfoggC53"
"HERBIE MANN: Jumpin' With Symphony Sid","https://open.spotify.com/track/4cbJ4faSzqBZgsu0N185XZ","4cbJ4faSzqBZgsu0N185XZ",1,"spotify:track:4cbJ4faSzqBZgsu0N185XZ"
"CASSANDRA WILSON: Justice","https://open.spotify.com/track/4kD390y6qWTGcbgrSCQeuu","4kD390y6qWTGcbgrSCQeuu",1,"spotify:track:4kD390y6qWTGcbgrSCQeuu"
"VICTOR WOOTEN: Miss U","https://open.spotify.com/track/3XnAn160wmZ5GBRfNJbqSW","3XnAn160wmZ5GBRfNJbqSW",2,"spotify:track:3XnAn160wmZ5GBRfNJbqSW"
"THE NEW GARY BURTON QUARTET: Banksy","https://open.spotify.com/track/5qgpWbE51y9HsI72kJCDzr","5qgpWbE51y9HsI72kJCDzr",2,"spotify:track:5qgpWbE51y9HsI72kJCDzr"
"B/Y ORGANISM: June 17th","https://open.spotify.com/track/165oJgnoFZlcAqRDOuIPjT","165oJgnoFZlcAqRDOuIPjT",2,"spotify:track:165oJgnoFZlcAqRDOuIPjT"
"JACKY TERRASSON: Dance","https://open.spotify.com/track/26O8uGzHqeDqWW1F3IeLBw","26O8uGzHqeDqWW1F3IeLBw",1,"spotify:track:26O8uGzHqeDqWW1F3IeLBw"
"DJANGO CLUB: It's Time","https://open.spotify.com/track/0kYKxcVr2By87Ezeg3zMBh","0kYKxcVr2By87Ezeg3zMBh",2,"spotify:track:0kYKxcVr2By87Ezeg3zMBh"
"CHRISTIAN SCOTT: Fatima Aisha Rokero 400","https://open.spotify.com/track/5Mbg1lS7oZmHTuZF5DdwSV","5Mbg1lS7oZmHTuZF5DdwSV",1,"spotify:track:5Mbg1lS7oZmHTuZF5DdwSV"
"BUGGE WESSELTOFT: Hands","https://open.spotify.com/track/6ueA3RMronnNPEGgURsn2S","6ueA3RMronnNPEGgURsn2S",1,"spotify:track:6ueA3RMronnNPEGgURsn2S"
"KNEEBODY: Wounds Let in the Light?","https://open.spotify.com/track/7uA5nmMfBArT2Er6bmMqLM","7uA5nmMfBArT2Er6bmMqLM",1,"spotify:track:7uA5nmMfBArT2Er6bmMqLM"
