"song","spotify_url","spotify_track_id","n","spotify_uri"
"ALICE GLASS: Suffer And Swallow","https://open.spotify.com/track/6qMISRyMVgELHYGFYTbG0w","6qMISRyMVgELHYGFYTbG0w",8,"spotify:track:6qMISRyMVgELHYGFYTbG0w"
"MASSIVE ATTACK: Teardrop","https://open.spotify.com/track/67Hna13dNDkZvBpTXRIaOJ","67Hna13dNDkZvBpTXRIaOJ",1,"spotify:track:67Hna13dNDkZvBpTXRIaOJ"
"PANDA BEAR: Dolphin","https://open.spotify.com/track/10n7ftA9Y0hAdaFMWDYsk2","10n7ftA9Y0hAdaFMWDYsk2",1,"spotify:track:10n7ftA9Y0hAdaFMWDYsk2"
"JOSÉ JAMES: Blackmagic (Joy Orbison's Recreation)","https://open.spotify.com/track/5THWpE8uwOgIu0RkEyISAq","5THWpE8uwOgIu0RkEyISAq",1,"spotify:track:5THWpE8uwOgIu0RkEyISAq"
"IAMDDB: Wa'hum","https://open.spotify.com/track/5v9GtlQnZbJRwpaG8g9txL","5v9GtlQnZbJRwpaG8g9txL",9,"spotify:track:5v9GtlQnZbJRwpaG8g9txL"
"SAWEETIE: Best Friend ft. Doja Cat","https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y","2etHQJxIbV0soyPhelVs9Y",10,"spotify:track:2etHQJxIbV0soyPhelVs9Y"
"PRIMAL SCREAM: Loaded","https://open.spotify.com/track/4909RzlrcQf2Ikk6P4reF1","4909RzlrcQf2Ikk6P4reF1",1,"spotify:track:4909RzlrcQf2Ikk6P4reF1"
"THE DO: Too Insistent","https://open.spotify.com/track/3YXyBZ1JADEGTpLdSlex0I","3YXyBZ1JADEGTpLdSlex0I",1,"spotify:track:3YXyBZ1JADEGTpLdSlex0I"
"SUN JUNE: Everything I Had","https://open.spotify.com/track/0k5szLN0SJYB1LdEBUFUIS","0k5szLN0SJYB1LdEBUFUIS",10,"spotify:track:0k5szLN0SJYB1LdEBUFUIS"
"CHEMICAL BROTHERS: Galvanize","https://open.spotify.com/track/4bz7uB4edifWKJXSDxwHcs","4bz7uB4edifWKJXSDxwHcs",1,"spotify:track:4bz7uB4edifWKJXSDxwHcs"
"WILCO: I Might","https://open.spotify.com/track/2jXOWLBam6K7QkVlIEMrur","2jXOWLBam6K7QkVlIEMrur",1,"spotify:track:2jXOWLBam6K7QkVlIEMrur"
"SLEIGH BELLS: Tell Em´","https://open.spotify.com/track/2DVTAKir2bj7g1gF0CPMGc","2DVTAKir2bj7g1gF0CPMGc",1,"spotify:track:2DVTAKir2bj7g1gF0CPMGc"
"ANDREW BIRD: Oh No","https://open.spotify.com/track/4BqwtA09d5FIHbdL3FZRxi","4BqwtA09d5FIHbdL3FZRxi",1,"spotify:track:4BqwtA09d5FIHbdL3FZRxi"
"MODEST MOUSE: We´ve Got Everything","https://open.spotify.com/track/1txsP5vvCg4S13iHiOfusf","1txsP5vvCg4S13iHiOfusf",1,"spotify:track:1txsP5vvCg4S13iHiOfusf"
"QUEENS OF THE STONE AGE: Sick,Sick,Sick","https://open.spotify.com/track/1wk0GNRiJvOxGBuaioZWtT","1wk0GNRiJvOxGBuaioZWtT",1,"spotify:track:1wk0GNRiJvOxGBuaioZWtT"
"THE KILLS: Last Day Of Magic","https://open.spotify.com/track/6tAolDK5vbvjnZklJPLNE2","6tAolDK5vbvjnZklJPLNE2",1,"spotify:track:6tAolDK5vbvjnZklJPLNE2"
