"song","spotify_url","spotify_track_id","n","spotify_uri"
"MACHINEDRUM: Gunshotta","https://open.spotify.com/track/5IM1TAhZ0tGhPketsWMC02","5IM1TAhZ0tGhPketsWMC02",1,"spotify:track:5IM1TAhZ0tGhPketsWMC02"
"COLDPLAY: Yellow","https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg","3AJwUDP919kvQ9QcozQPxg",1,"spotify:track:3AJwUDP919kvQ9QcozQPxg"
"CHERRY GLAZERR: Big Bang","https://open.spotify.com/track/6NP3tRIq8pj0AbEX4ioiSc","6NP3tRIq8pj0AbEX4ioiSc",11,"spotify:track:6NP3tRIq8pj0AbEX4ioiSc"
"SLOWTHAI: Cancelled ft. Skepta","https://open.spotify.com/track/5W7QnW6F0UNKDtFOsPCidY","5W7QnW6F0UNKDtFOsPCidY",9,"spotify:track:5W7QnW6F0UNKDtFOsPCidY"
"KELELA: Frontline","https://open.spotify.com/track/6b3KUNSmJL1qIfi1hF1G6Y","6b3KUNSmJL1qIfi1hF1G6Y",1,"spotify:track:6b3KUNSmJL1qIfi1hF1G6Y"
"YZOMANDIAS: BodyBag","https://open.spotify.com/track/3fBpzO81OXrmZPKL0KG8LF","3fBpzO81OXrmZPKL0KG8LF",10,"spotify:track:3fBpzO81OXrmZPKL0KG8LF"
"BRITNEY SPEARS: Gimme More","https://open.spotify.com/track/6ic8OlLUNEATToEFU3xmaH","6ic8OlLUNEATToEFU3xmaH",1,"spotify:track:6ic8OlLUNEATToEFU3xmaH"
"BLONDIE: HEART OF GLASS","https://open.spotify.com/track/4v2rkl1mC3zVAz0nXMx9r4","4v2rkl1mC3zVAz0nXMx9r4",1,"spotify:track:4v2rkl1mC3zVAz0nXMx9r4"
"DIRTY PROJECTORS: Inner World","https://open.spotify.com/track/64NXeZd7xq7qWNLaTI22MY","64NXeZd7xq7qWNLaTI22MY",1,"spotify:track:64NXeZd7xq7qWNLaTI22MY"
"SOPHIE: Faceshopping","https://open.spotify.com/track/2rN1ODOsaNfYu782rw36jR","2rN1ODOsaNfYu782rw36jR",1,"spotify:track:2rN1ODOsaNfYu782rw36jR"
"PRODIGY: Breathe","https://open.spotify.com/track/0Ja4hLKiUSw01E01pJ1yGr","0Ja4hLKiUSw01E01pJ1yGr",1,"spotify:track:0Ja4hLKiUSw01E01pJ1yGr"
"CHER: BELIEVE","https://open.spotify.com/track/2goLsvvODILDzeeiT4dAoR","2goLsvvODILDzeeiT4dAoR",2,"spotify:track:2goLsvvODILDzeeiT4dAoR"
"DUA LIPA: WE'RE GOOD","https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh","1diS6nkxMQc3wwC4G1j0bh",1,"spotify:track:1diS6nkxMQc3wwC4G1j0bh"
"MR. MITCH: Did We Say Goodbye","https://open.spotify.com/track/6eGd1z2FNNNMyAhQ5qd6dw","6eGd1z2FNNNMyAhQ5qd6dw",1,"spotify:track:6eGd1z2FNNNMyAhQ5qd6dw"
"BABII: Shadow","https://open.spotify.com/track/2KusH57WCXaAyocRjxhItH","2KusH57WCXaAyocRjxhItH",9,"spotify:track:2KusH57WCXaAyocRjxhItH"
"TAYLOR SWIFT: CARDIGAN","https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd","4R2kfaDFhslZEMJqAFNpdd",1,"spotify:track:4R2kfaDFhslZEMJqAFNpdd"
"LYKKE LI: Little Bit","https://open.spotify.com/track/0Ps4Eh6SQjeLnubbCsQTDD","0Ps4Eh6SQjeLnubbCsQTDD",1,"spotify:track:0Ps4Eh6SQjeLnubbCsQTDD"
"DJANGO DJANGO: Waking Up ft. Charlotte Gainsbourg","https://open.spotify.com/track/4WvUecgnYQGxf2tgGqu98a","4WvUecgnYQGxf2tgGqu98a",9,"spotify:track:4WvUecgnYQGxf2tgGqu98a"
"NORTH HIGHLANDS: I’ll Do My Best","https://open.spotify.com/track/6Db3cKZpaedoPtHapfe2pa","6Db3cKZpaedoPtHapfe2pa",1,"spotify:track:6Db3cKZpaedoPtHapfe2pa"
"CHARLOTTE CARDIN: Meaningless","https://open.spotify.com/track/3hEP7OMePmKx20LuNQP45q","3hEP7OMePmKx20LuNQP45q",10,"spotify:track:3hEP7OMePmKx20LuNQP45q"
"JACQUES GREENE: On Your Side ft. How To Dress Well","https://open.spotify.com/track/3E4kvTvthVL8DH6fPpHl6q","3E4kvTvthVL8DH6fPpHl6q",1,"spotify:track:3E4kvTvthVL8DH6fPpHl6q"
