"song","spotify_url","spotify_track_id","n","spotify_uri"
"DJ SHADOW: Bergschrund ft. Nils Frahm","https://open.spotify.com/track/49bOasbGve41kV4CM982rv","49bOasbGve41kV4CM982rv",1,"spotify:track:49bOasbGve41kV4CM982rv"
"KILL THE DANDIES!: I May Even Dance","https://open.spotify.com/track/3WVoXqIZZUwHOP6pCxz8Of","3WVoXqIZZUwHOP6pCxz8Of",1,"spotify:track:3WVoXqIZZUwHOP6pCxz8Of"
"DINOSAUR JR.: Goin Down","https://open.spotify.com/track/0qAtGaR7lqoAu6kts5Rrch","0qAtGaR7lqoAu6kts5Rrch",1,"spotify:track:0qAtGaR7lqoAu6kts5Rrch"
"LADY LESHURR: DIV","https://open.spotify.com/track/4x1s4MhxEc2XCW0pyHHVff","4x1s4MhxEc2XCW0pyHHVff",11,"spotify:track:4x1s4MhxEc2XCW0pyHHVff"
"N.E.R.D.: Everyone Nose","https://open.spotify.com/track/4sEogqdjymwrY5wl2hJ4Io","4sEogqdjymwrY5wl2hJ4Io",1,"spotify:track:4sEogqdjymwrY5wl2hJ4Io"
"YEAH YEAH YEAHS: Cheated Hearts","https://open.spotify.com/track/10PqqH5f9vRVmwhIB5KS7n","10PqqH5f9vRVmwhIB5KS7n",1,"spotify:track:10PqqH5f9vRVmwhIB5KS7n"
"FRAYER FLEXKING: Lifestyle ft. Shimmi","https://open.spotify.com/track/1wTdd9RgkorAI1JcVIAF2P","1wTdd9RgkorAI1JcVIAF2P",9,"spotify:track:1wTdd9RgkorAI1JcVIAF2P"
"KING MIDAS SOUND: Aroo","https://open.spotify.com/track/364h1iFSjG2yYCpaE7PhmS","364h1iFSjG2yYCpaE7PhmS",1,"spotify:track:364h1iFSjG2yYCpaE7PhmS"
"THE PROSTITUTES: Heart Of Stone","https://open.spotify.com/track/11jakVIccKQkvb2aqoITvV","11jakVIccKQkvb2aqoITvV",1,"spotify:track:11jakVIccKQkvb2aqoITvV"
"BEACH HOUSE: Lemon Glow","https://open.spotify.com/track/26CfdVmYf0hNvP6SJXF0vQ","26CfdVmYf0hNvP6SJXF0vQ",1,"spotify:track:26CfdVmYf0hNvP6SJXF0vQ"
"PJ HARVEY: The Words That Maketh Murder","https://open.spotify.com/track/64EePXuDYpMZMvaTT7k8vi","64EePXuDYpMZMvaTT7k8vi",1,"spotify:track:64EePXuDYpMZMvaTT7k8vi"
"SLEIGH BELLS: Infinity Guitars","https://open.spotify.com/track/3m8i9k7CT6Fq8eAUGlfN7p","3m8i9k7CT6Fq8eAUGlfN7p",1,"spotify:track:3m8i9k7CT6Fq8eAUGlfN7p"
"FOALS: This Orient","https://open.spotify.com/track/5rjvJFLfW2Pt6hzL9SM2yw","5rjvJFLfW2Pt6hzL9SM2yw",1,"spotify:track:5rjvJFLfW2Pt6hzL9SM2yw"
"YEASAYER: Don´t Come Close","https://open.spotify.com/track/620tbRI5ZFvrWF31JkQ2dS","620tbRI5ZFvrWF31JkQ2dS",1,"spotify:track:620tbRI5ZFvrWF31JkQ2dS"
"MADVILLAIN: Meat Grinder","https://open.spotify.com/track/60PZUWKsJC52uXaPlPcEVf","60PZUWKsJC52uXaPlPcEVf",1,"spotify:track:60PZUWKsJC52uXaPlPcEVf"
"MF DOOM: Beef Rap","https://open.spotify.com/track/1m14Mfy2JuHr6CoCbxtghp","1m14Mfy2JuHr6CoCbxtghp",1,"spotify:track:1m14Mfy2JuHr6CoCbxtghp"
"CELESTE: Love's Back","https://open.spotify.com/track/2xAffWASC4yddor8wW037Z","2xAffWASC4yddor8wW037Z",10,"spotify:track:2xAffWASC4yddor8wW037Z"
"MADVILLAIN: Accordion","https://open.spotify.com/track/5jAvbp8kEnRPToi4Bzcvzt","5jAvbp8kEnRPToi4Bzcvzt",1,"spotify:track:5jAvbp8kEnRPToi4Bzcvzt"
