"song","spotify_url","spotify_track_id","n","spotify_uri"
"CARTEL MADRAS: Drift ft. Dom Dias","https://open.spotify.com/track/5OsJvm24pLAk5jCkPfWe7r","5OsJvm24pLAk5jCkPfWe7r",12,"spotify:track:5OsJvm24pLAk5jCkPfWe7r"
"SOPHIE: OOH","https://open.spotify.com/track/3V6VHXjs2XZQhpkw6apwO4","3V6VHXjs2XZQhpkw6apwO4",1,"spotify:track:3V6VHXjs2XZQhpkw6apwO4"
"MC LYTE & GINA THOMPSON: It's All Yours","https://open.spotify.com/track/74S8BajRxF14NYUGj1I04o","74S8BajRxF14NYUGj1I04o",2,"spotify:track:74S8BajRxF14NYUGj1I04o"
"SOPHIE: L.O.V.E","https://open.spotify.com/track/6ocZyFGPtQNkseWf3g3anS","6ocZyFGPtQNkseWf3g3anS",1,"spotify:track:6ocZyFGPtQNkseWf3g3anS"
"SOPHIE: BIPP","https://open.spotify.com/track/5HuOQHBDbb0UJjEE2fw6Uq","5HuOQHBDbb0UJjEE2fw6Uq",1,"spotify:track:5HuOQHBDbb0UJjEE2fw6Uq"
"SOPHIA KENNEDY: Cat On My Tongue","https://open.spotify.com/track/66Sszozmh7ZVJqUFzbwnw6","66Sszozmh7ZVJqUFzbwnw6",9,"spotify:track:66Sszozmh7ZVJqUFzbwnw6"
"SOPHIE: HARD","https://open.spotify.com/track/64LJZpSz4VxvNDcyx1762M","64LJZpSz4VxvNDcyx1762M",1,"spotify:track:64LJZpSz4VxvNDcyx1762M"
"CHARLI XCX: Vroom Vroom","https://open.spotify.com/track/5hyq3LBlCfjRQAFkdQwe8o","5hyq3LBlCfjRQAFkdQwe8o",1,"spotify:track:5hyq3LBlCfjRQAFkdQwe8o"
"DEERHUNTER: Nothing Ever Happened","https://open.spotify.com/track/2lpAewNLiQpg6xFf2O7Jca","2lpAewNLiQpg6xFf2O7Jca",1,"spotify:track:2lpAewNLiQpg6xFf2O7Jca"
"MADONNA: Bitch Im Madonna","https://open.spotify.com/track/2bZMOs3RjmhhGca6MEzjyl","2bZMOs3RjmhhGca6MEzjyl",1,"spotify:track:2bZMOs3RjmhhGca6MEzjyl"
"JPEGMAFIA: Fix Urself","https://open.spotify.com/track/2G90KzHn8ynh7Ai48hPJoR","2G90KzHn8ynh7Ai48hPJoR",9,"spotify:track:2G90KzHn8ynh7Ai48hPJoR"
"LE1F: Koi","https://open.spotify.com/track/3Lf4PS3RzFb8VpMyJtkOl4","3Lf4PS3RzFb8VpMyJtkOl4",1,"spotify:track:3Lf4PS3RzFb8VpMyJtkOl4"
"BAIO: Never Never Never","https://open.spotify.com/track/4vJUifLFukQpzDzRcJmikW","4vJUifLFukQpzDzRcJmikW",11,"spotify:track:4vJUifLFukQpzDzRcJmikW"
"SOPHIE: JUST LIKE WE NEVER SAID GOODBYE","https://open.spotify.com/track/18yTgk0VgjB9XDj8h2q6Td","18yTgk0VgjB9XDj8h2q6Td",1,"spotify:track:18yTgk0VgjB9XDj8h2q6Td"
"OHTIS: Schatze ft. Stef Chura","https://open.spotify.com/track/1pkHwvCsMdBgcPKm7YTItg","1pkHwvCsMdBgcPKm7YTItg",10,"spotify:track:1pkHwvCsMdBgcPKm7YTItg"
"M.I.A.: Boyz","https://open.spotify.com/track/6cL7d5UxAmU4gr0PVzk2Z9","6cL7d5UxAmU4gr0PVzk2Z9",1,"spotify:track:6cL7d5UxAmU4gr0PVzk2Z9"
"CHARLI XCX: Roll with Me","https://open.spotify.com/track/0D6VCA9ycrkk9kH9F0p0AB","0D6VCA9ycrkk9kH9F0p0AB",1,"spotify:track:0D6VCA9ycrkk9kH9F0p0AB"
"SOPHIE: Reason Why ft. Kim Petras x BC Kingdom","https://open.spotify.com/track/5JxRtPTBGZTxEBjAkGSqaV","5JxRtPTBGZTxEBjAkGSqaV",1,"spotify:track:5JxRtPTBGZTxEBjAkGSqaV"
"PALMA VIOLETS: We Found Love","https://open.spotify.com/track/1ewQd24Tap8PmwPuQYdy0r","1ewQd24Tap8PmwPuQYdy0r",1,"spotify:track:1ewQd24Tap8PmwPuQYdy0r"
"FKA TWIGS: Papi Pacify","https://open.spotify.com/track/6Ws7jkhm0j7nTe7Oq4maHD","6Ws7jkhm0j7nTe7Oq4maHD",1,"spotify:track:6Ws7jkhm0j7nTe7Oq4maHD"
"EAST 17: STAY ANOTHER DAY","https://open.spotify.com/track/4wYCe9tSmUolNU4WmJKbZy","4wYCe9tSmUolNU4WmJKbZy",1,"spotify:track:4wYCe9tSmUolNU4WmJKbZy"
"DESIRE: Zeros","https://open.spotify.com/track/2zAqRs4in6kzr2fRkFktKx","2zAqRs4in6kzr2fRkFktKx",10,"spotify:track:2zAqRs4in6kzr2fRkFktKx"
"MÚM: Prophecies & Reversed Memories","https://open.spotify.com/track/51VriqaMlZQ06Que04b8KM","51VriqaMlZQ06Que04b8KM",1,"spotify:track:51VriqaMlZQ06Que04b8KM"
"CLUB 8: Western Hospitality","https://open.spotify.com/track/13beqlGAAKkx3hzEJeDrPq","13beqlGAAKkx3hzEJeDrPq",1,"spotify:track:13beqlGAAKkx3hzEJeDrPq"
"KUBATKO: Tehdy","https://open.spotify.com/track/3YNFw0msAvcnwqwayOVHyC","3YNFw0msAvcnwqwayOVHyC",9,"spotify:track:3YNFw0msAvcnwqwayOVHyC"
"TANLINES: Pieces","https://open.spotify.com/track/45CTynsUFKiRU2sM2gxYAH","45CTynsUFKiRU2sM2gxYAH",1,"spotify:track:45CTynsUFKiRU2sM2gxYAH"
"ANASTACIA: I'M OUTTA LOVE","https://open.spotify.com/track/2CaseM6BKvQpi6blK8nbxC","2CaseM6BKvQpi6blK8nbxC",1,"spotify:track:2CaseM6BKvQpi6blK8nbxC"
