"song","spotify_url","spotify_track_id","n","spotify_uri"
"DONNY MCCASLIN: Love What Is Mortal","https://open.spotify.com/track/25v8HmSvxLim7VSXwb7xWq","25v8HmSvxLim7VSXwb7xWq",1,"spotify:track:25v8HmSvxLim7VSXwb7xWq"
"Marcus Strickland Twi-Life: Build (Marcus Strickland)","https://open.spotify.com/track/7spLvc1Kxry6aWiumkg4tQ","7spLvc1Kxry6aWiumkg4tQ",1,"spotify:track:7spLvc1Kxry6aWiumkg4tQ"
"JOEY ALEXANDER: Space","https://open.spotify.com/track/3KLcnWzZ8NbPIL0dVmJwYE","3KLcnWzZ8NbPIL0dVmJwYE",1,"spotify:track:3KLcnWzZ8NbPIL0dVmJwYE"
"Airelle Besson: Radio One","https://open.spotify.com/track/74Xc2xn9m8SKrUZgkR6Xm8","74Xc2xn9m8SKrUZgkR6Xm8",1,"spotify:track:74Xc2xn9m8SKrUZgkR6Xm8"
"LOUIS ARMSTRONG: WHAT A WONDERFUL WORLD","https://open.spotify.com/track/29U7stRjqHU6rMiS8BfaI9","29U7stRjqHU6rMiS8BfaI9",1,"spotify:track:29U7stRjqHU6rMiS8BfaI9"
"LOUIS ARMSTRONG: CHRISTMAS NIGHT IN HARLEM","https://open.spotify.com/track/4et2aXrKUl6RJErX9XHFkj","4et2aXrKUl6RJErX9XHFkj",1,"spotify:track:4et2aXrKUl6RJErX9XHFkj"
"MAJID BEKKAS: Chabakrou","https://open.spotify.com/track/1XtBh2n33824I6YH1ec0fF","1XtBh2n33824I6YH1ec0fF",1,"spotify:track:1XtBh2n33824I6YH1ec0fF"
"John Coltrane Quartet: Vilia (John Coltrane)","https://open.spotify.com/track/3819hpCrl6J95Bak51OLue","3819hpCrl6J95Bak51OLue",1,"spotify:track:3819hpCrl6J95Bak51OLue"
"Jan Garbarek Group: Huhai (Jan Garbarek)","https://open.spotify.com/track/6aWskvJQKXtcOGxIOjAjXK","6aWskvJQKXtcOGxIOjAjXK",1,"spotify:track:6aWskvJQKXtcOGxIOjAjXK"
"CHRIS POTTER: Koutomé","https://open.spotify.com/track/41Y3ZMugWmXtuGaNgqFzaa","41Y3ZMugWmXtuGaNgqFzaa",1,"spotify:track:41Y3ZMugWmXtuGaNgqFzaa"
"Anton Eger: ?irl MIP +++ hH","https://open.spotify.com/track/6cBjJtnZk7axhEWyKNaxW6","6cBjJtnZk7axhEWyKNaxW6",1,"spotify:track:6cBjJtnZk7axhEWyKNaxW6"
"GILAD HEKSELMAN: Milton","https://open.spotify.com/track/5OotuO2cEl54pjMEgoCZse","5OotuO2cEl54pjMEgoCZse",1,"spotify:track:5OotuO2cEl54pjMEgoCZse"
"Hermeto Pascoal: Voz E Vento","https://open.spotify.com/track/38f79bJATaQ1ljiV2Mvmix","38f79bJATaQ1ljiV2Mvmix",1,"spotify:track:38f79bJATaQ1ljiV2Mvmix"
"KAREL RŮŽIČKA: Open Your Eyes","https://open.spotify.com/track/05pGZsPrupB0XjsTpFjrpk","05pGZsPrupB0XjsTpFjrpk",1,"spotify:track:05pGZsPrupB0XjsTpFjrpk"
"HORACE SILVER QUINTET: Nica's Dream (Horace Silver)","https://open.spotify.com/track/3f0kH5GF50N7zAVbx4EWAL","3f0kH5GF50N7zAVbx4EWAL",1,"spotify:track:3f0kH5GF50N7zAVbx4EWAL"
"HORACE SILVER QUINTET: Horace-Scope (Horace Silver)","https://open.spotify.com/track/3f0kH5GF50N7zAVbx4EWAL","3f0kH5GF50N7zAVbx4EWAL",1,"spotify:track:3f0kH5GF50N7zAVbx4EWAL"
